from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
3000,3000,2,120,1__0__187__TZM__3__3,60__0__141__MNM__3112__3112
1001,PARA1,2,0,262__1__416__UZM__4701__4701,KPL__1__6449__RAIL__Rail_SaSu+Hol
7720,7700,2,60,29__1__114__TZM__103__2__103__2,7__1__136__TZM__242__242
7720,7700,2,60,29__1__716__TZM__105__105,7__1__736__TZM__115__115
1501,WAIK,2,240,280__0__703__UZM__4102__4102,KPL__1__6419__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,220__0__155__TZM__310__310
2002,PORI2,2,0,60__0__159__MNM__3042__3042,KPL__0__6350__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6454__RAIL__Rail_SaSu+Hol,220__1__734__TZM__303__1__303__1
PORI2,2003,2,0,KPL__0__6462__RAIL__Rail_SaSu+Hol,220__1__450__TZM__301__1__301__1
8165,WATE1,2,0,150__1__128__TZM__431__431,HVL__1__2639__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,210__1__138__TZM__322__322,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,210__1__138__TZM__322__1__322__1,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
3000,3000,2,120,1__0__145__TZM__203__2__203__2,19__0__147__TZM__130__130
WATE2,9165,2,0,HVL__0__3842__RAIL__Rail_SaSu+Hol,150__0__423__TZM__415__415
8140,WATE1,2,0,170__0__443__TZM__604__604,HVL__1__3851__RAIL__Rail_SaSu+Hol
TAIT2,9251,2,0,HVL__0__3836__RAIL__Rail_SaSu+Hol,120__0__437__TZM__417__417
6733,6730,2,120,7__0__111__TZM__115__2__115__2,23__0__115__TZM__111__3__111__3
6733,6730,2,120,7__0__109__TZM__102__2__102__2,23__0__115__TZM__111__3__111__3
SILV,8416,2,240,HVL__0__2630__RAIL__Rail_MTuWThF-XHol,115__0__113__TZM__524__524
6720,7720,2,120,7__0__721__TZM__115__115,29__0__711__TZM__105__105
7017,7017,2,120,29__0__149__TZM__129__129,1__0__259__TZM__201__2__201__2
7026,7224,2,120,12__1__414__NBM__12__5__12__5,2__0__435__NBM__29__4__29__4
2002,PORI1,2,0,230__1__102__TZM__302__2__302__2,KPL__1__8267__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__102__TZM__302__4__302__4,KPL__1__8267__RAIL__Rail_MTuWThF-XHol
6081,6081,2,120,2__1__440__NBM__25__4__25__4,18__0__413__NBM__31__5__31__5
7083,7083,2,120,18__1__404__NBM__4__6__4__6,2__0__421__NBM__6__4__6__4
8165,WATE1,2,0,130__1__178__TZM__413__1__413__1,HVL__1__3625__RAIL__Rail_MTuWThF-XHol
6055,6017,2,240,1__1__476__TZM__112__1__112__1,29__1__438__TZM__117__1__117__1
3081,3081,2,120,60__1__710__MNM__1061__1061,1__1__740__TZM__202__202
6733,6730,2,120,7__0__169__TZM__135__135,23__0__145__TZM__106__1__106__1
1001,PARA1,2,0,261__1__706__UZM__4104__4104,KPL__1__6427__RAIL__Rail_SaSu+Hol
PARA2,1000,2,0,KPL__0__6430__RAIL__Rail_SaSu+Hol,260__0__711__UZM__4105__4105
PORI2,2002,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,236__0__403__TZM__306__1__306__1
1501,WAIK,2,240,280__0__141__UZM__1002__1__1002__1,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,262__1__712__UZM__4101__4101,KPL__1__6441__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,226__0__405__TZM__308__308
2003,PORI1,2,0,226__0__127__TZM__315__315,KPL__1__6303__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,226__0__127__TZM__315__1__315__1,KPL__1__6303__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3846__RAIL__Rail_SaSu+Hol,112__0__417__TZM__505__2__505__2
PORI2,2003,2,0,KPL__0__6322__RAIL__Rail_MTuWThF-XHol,226__0__135__TZM__315__315
